No,userName,content,Label
28,BASUKI Wiratno,"mudah di gunakan , CS responya cepet dan ada diskonya",Positif
29,Jeff Chiang,"Aplikasi gk jelas,Medan ke bandung gk ada bus ny...ha5...",Negatif
30,pindang Pegagan,pelayanan terbaik bagi konsumen,Positif
31,nst gozali,Merespon permasalahan yang saya alami begitu cepat..,Positif
32,Rido Sugiarto,Sangat membantu,Positif
33,lagu minang kabau,Untuk melakukan pembayaran aja loading nya lama. Dan udah d ulang gagal terus.,Negatif
34,Farida Nur fajriah,"Saya sudah mesen sudah melakukan pembayaran, tapi tiba2 tiket gagal uang juga gak balik. Gimana ini ya kok kaya gini jadi aplikasi",Negatif
35,be'ans jocelyn,Refund sudah di aprrove tapi uang nya ngak dibalikin. Mana ngak ada nomor yg bisa dihubungin lagi.,Negatif
36,Buchori Muslim,"Tidak bs pesan tiket, di suruh setuju syarat dan ketentuan tp tidak ada yang harus di pilih",Negatif
37,Nasa Nasa,Bus sapu jagat banyak premannya .,Negatif
38,Sugeng Purnama,"Ga sesuai pemberangkatan, Gajelas",Negatif
39,Brian Awiruddin,"Saya tahu aplikasi ini dari teman saya, namun saya sendiri belum pernah menggunakannya. Dari review mereka sih cukup bagus, mungkin saya bisa mencobanya dikemudian hari!",Positif
40,danny wicaksana,"Pesan bus dari awal tujuan karawang, eh waktu sudah menyelesaikan pembayaran dan e ticket keluar malah yg ada tujuan berubah jadi sebelum tol cikampek. Alhasil diturunin di pinggir tol. Mana sudah komplain gk ada solusi sama sekali, entah dr PO atau redBus..semua saling lempar tanggung jawab. kecewa saya pesen lewat ni aplikasi. Sperti beli kucing dlm karung.",Negatif
41,Ach Ridwan,"Saya pesan uang sudah di transfer tapi gagal tapi uang tidak kembali, minta bantuan di menu pilihan udah di kirim sesuai intruksi tapi setelah saya kirim semua tapi tidak ada balasan lagi ada sangat kecewa",Negatif
42,ARIE PURNOMO,Trimakasih Redbus atas kemudahan dalam membeli ticket online. Semoga semakin berkembang dan terus selalu meningkatkan pelayanan.,Positif
43,Tanpa Nama,"Kecewa, jadwal tidak akurat. Di aplikasi tertulis jadwal bus jam 15.15, ternyata jadwal aslinya jam 18.05.",Negatif
44,Maya Ramli,masuk nya susah amat nih aplikasi begitu sdh pesan hrs install ulang dulu.. why? jgn alasan nya jaringan Mulu.. lagi aman ko jaringan gw.. Lagian byr ko.. jgn persulit Bosque.. biar pemesan happy.. oke perbaiki pelayanan nya,Negatif
45,Tri Aulad,Tidak profesional...sdh berhasil bayar dan dinyatakan sukses tiketnya..tiba2 trm wa gagal krn blm trm pembayaran..di tunggu diatroum senen di cititrabs nama saya tdk ada..tapi keukeuh bilang sdh berhasil ..akhirnya say beli tiket tunai ke driver cititrans...tapi dana dari redbus tdk dikembalikan? Pelayanan yg buruk sekali,Negatif
46,Freaky chef World,Jelek banget...beda kualitas MENGECEWAKAN...!!! SUDAH BOOKING DAN CONFIRM TAU TAU DIBATALKAN SEPIHAK OLEH APLIKASI KECEWA...!!!,Negatif
47,Haswida Sari,bisa pilih kursi dan diinfo batas jadwal ulang,Positif
48,Muji Rahma,"Buat event nya ngga jelas banget, masa blom pake vocher nya, tapi ngga bisa dipake, trus event undang teman percuma juga dapet nya 40k tapi bisa dipakenya cuma berpa persen doang, ngga ada keterangan diawal lagi, jadi rugi dikitanya, mending dapet nya 10k /15k per referal, tapi bisa digunain semua",Negatif
49,Muji 1989,Hapus saja deh aplikasinya.... Maaf ya..... Tidak memuaskan.....,Negatif
50,Badokz ajah,Apk ini bagus tp sayang masih banyak po. Yg blm masuk red bus jd pilihan armadanya masih sedikit,Positif
51,Rohman Saputra,"aplikasi redbus sangat membantu, memudahkan saya dalam pemesanan tiket. serta jadwal keberangkatan yang sesuai dengan operator bus.",Positif
52,Susie Kuswarto,"Kapok pake redbus, jam brgkt tdk sesuai dgn jadwal, Jadwal Brgkt jam 15.45, kita di jalan 15.15 (sampai agen agramas kurleb 10 menitan, tp crew bis agramas bm87 td mau nunggu, alasannya suruh dtg 1 jam lbh awal, kita tau dr mana kalo suruh dtg lbh awal 1 jam, sedangkan jam keberangkatan 15.45, kenapa jd kita yg di salahkan) Akhirnya pindah lg ke bekasi timur, crew nya ngomel2 lg katanya kita bohong bilang dekat pintu tol bekasi timur, Pdhl kita nunggu krn ke halang mobil ambulance lewat, ",Negatif
53,Seti Yadi,"Mudah pesan tiket scr online dan semoga kedepannya setiap bulan ada promo potongan untuk pengguna lama, tks.",Positif
54,Ahmad Muhammad,"Cukup simple,membantu utk moda bepergian. Saya pakai red bus utk mendapatkan armada aman. Hasil feedback dr penumpang sebaiknya ditindaklanjuti ya...utk perbaikan pelayanan yg maximal. Good",Positif
55,Belinda Alviana,Bagus banget pelayanannya,Positif
56,Muhamad Slamet,"Sangat membantu dan memudakan dalam pemesanan tiket bus, tanpa repot datang ke loket membeli tiket. Bisa memesan tiket jauh hari dan bisa memilih tarif bus sesuai keuangan yang ada saat akan berpergian..",Positif
57,Dewa tegar febriyansah,Masa ga bisa ubah tanggal perjalanan,Negatif
58,Lia Maharani,Aplikasi nya kurang kerja sama apa ya? Udh pesan kursi nomor 1 malah di pindah kursinya.. kapok make applikasi ini... mending uninstall...,Negatif
59,Gojeg Uhuy,Aplikasi ga jelas tdk ada kesuaian dg pihak operator bus... Sering² pesan kursi depan tp giliran boarding di pindahkan kursinya... Apa karena kurang kerja sama? Pikir² lagi deh kalo mau pake aplikasi ini.. udh kapok.. mending uninstall...,Negatif
60,Hari Lubis,Nomer PIC Bis yang diberikan penyedia jasa aplikasi tidak dapat dihubungi. Sungguh membuat konsumen kesulitan menghubungi. Dan Pihak Bis tidak menghubungi konsumen. Hal ini terjadi pada bis Agra Mas,Negatif
61,Risda Simarmata,"Dari Ciledug ke Cirebon aja memakan waktu hampir 3 jam, tolong dong primajasa di BERI PERINGATAN KEPADA PARA SOPIR - SOPIRNYA. Semakin kemari semakin buruk pelayanan primajasa",Negatif
62,Rahmad Dwi,Aplikasi yg sangat bermanfaat,Positif
63,metta metta,"udah paling bener beli tiket di terminal daripada aplikasi online gini. payment ga ke loading. akhirnya ga dapet tiket, refund juga nunggu",Negatif
64,Tatsuya_rentcar tatsuya,Harganya lebih mahal dari agen...dari poris ke Tayu harga agen 270.000 Harga redbus kok 320.000 Bus yang datang beda dari yang di photo,Negatif
65,Dhani Nopianto Supono,Cara lihat nama semua operator bus di apk redBus di mana,Negatif
66,EKO YUDI Alfianto,Selalu gagal untuk pembayaran via indomart,Negatif
67,Romadon Fadillah,"Sangat terbantu, tanpa repot2 keluar rumah, bisa bayar pake kartu kredit",Positif
68,Eko Pekanbaru,Aplikasinya gak bisa di buka,Negatif
69,Haidar Baqir rahman,"SAYA KASIH RATING 5,,,SUPAYA SEMANGAT UNTUK MEMPERBAIKI KESALAHAN YANG ADA,,,,DI APLIKASI INI!!!,,,SEMOGA KEDEPANNYA MAKIN BAIK DAN SELALU LEBIH BAIK!!!!,,,,DI TUNGGU KABAR SELANJUTNYA,,,YANG MENGENAI PROBLEM YANG ADA DI APLIKASI INI!!!",Positif
70,Rahmat Wahyudi,"Udah bagus dan sangat membntu, hanya beberapa PO saja yg harganya di atas harga agen, semoga bisa lebih d samakan dengan harga agen, tinggal klik ke indomarta atau alfa beres, dan masalah refund, dan pembayaran yg eror sih lebih baik lapornya ke IG cpet tanggap",Positif
71,aditya samudra,Mengecewakan...!! Jadwal bus tidak sesuai dgn yg di aplikasi. Saya harus nunggu 2 jam utk pemberangkatan.,Negatif
72,Alief Tutur Ramadhan,Saya sudah pesan sudah konfirmasi titik keberangkatan dan tidak ada kejelasan antara titik keberangkatan dengan red bus sudah menunggu lebih dari 3 jam dan tidak ada kabar,Negatif
73,Nadia n Suhita,"parah banget ini aplikasi. datanya nggak akurat, saya beli untuk executive, tapi setelah sampai di halte katanya penuh .. terus diganti jadi VIP . mana harganya di redbus sangat berbeda dengan di PO langsung . sangat mengecewakan!",Negatif
74,Aved Axel,"Mudah digunakan, harga sesuai PO dpt diskon pulak. Thanks",Positif
75,Akun Tumbal,Aplikasi beli tiket bis terbaik daripada sebelah warna biru itu,Positif
76,Pijar Syorgawan,Semakin mudah memesan tiket,Positif
77,Rian Drj,Sangat rekomen deh,Positif
78,Wahyu Noveriyanto,Bagus da cepat mudah,Positif
79,Moh Miftah,Sangat berguna,Positif
80,Faesa Syahputri Syaharani,"Boleh diketik kode refferal ini buat yang baru bikin akun ""REDGMOIX"" ..terimakasih",Positif
81,Anak Rantau,Pengalaman pertama kali lewat aplikasi redbus... Bis sesuai dan waktu penjemputan yg tepat... mudah dan lebih praktisOperator Customer servisnya juga ramah Semoga kedepannya semakin meningkat pemakainya ,Positif
82,Aurora Subaly,Praktis n keren,Positif
83,Ahmad Maulana Farizi,"Mantap, aplikasi sangat mudah digunakan, informasi juga lengkap, dan suka ada promo tertentu. Terimakasih redBus",Positif
84,E Cahya santoso,"Saya sdh pesen tiket surabaya bali pada tgl 23 dan saya batalkan pada tgl 23 malamnya Karena ada fasilitas refund dgn di potong admin sebesar 120 rb.. Dan katanya sdh di transfer pada tgl 25 agustus, faktanya sampai hari ini saya blm terima Layanannya mengecewakan",Negatif
85,Mohamad Soleh,Saya juga sering menggunakan transportasi BUS.,Positif
86,Dy Darmawan,"Aplikasi ini lebih tidak dipasang ... Sangat mengecewakan jadwal pemberangkatan tidak sesuai dgn yg tertera diaplikasi, dan uang tidak bisa kembali",Negatif
87,Asep Rohmat mulyadi,"Saya salah transfer, mau refund uang nya susah Coba yang ada diaplikasi juga ribet. Tolong dong customer service nya",Negatif
88,denny irvan,"Pelayanan cepat dan mudah, begitu juga di loket bus nya cepat respon utk mencetak bukti pembayaran/tiketnya.",Positif
89,Usep Usman N,"aplikasi untuk moda transportasi, paket tiket terusan lebih murah untuk yg rutin PP tiap minggu sangat membantu. aplikasi kadang harus hapus cache atau data, krn keluar aplikasi sendiri mungkin harus secara periodik update untuk bugnya",Positif
90,Nendra Setiawan,udh pesen pake redbuss kok masih ttp d sruh ngantri ke barisan penumpang beli tiket biasa...harusnya d bkin jalur sndri dan harus d dahulin ...percuma pake aplikasi ...mending gw beli langsung..!!!kecewa...!!! ,Negatif
91,andrean martin,"Bagus, pengamalan pernah ada masalah terkait dobel pembayaran, kemudian kuhubungi csnya, kemudian uangnya bisa balik lagi. Mantap",Positif
92,Antony Tri Susanto Itran,Saya pilih bis efisiensi dan selalu bilang bis tidak tersedia dan tidak bisa masuk ke pembayaran. Tolong dibenahi,Negatif
93,Pengguna Google,"Proses bookingnya gampang tapi pembayaran sudah mudah, dibandingkan 4 tahun lalu. Semakin membaik",Positif
94,SUMINI,Terbaik dan puas hati pelayanan baik,Positif
95,Dadang Dungky29,Ok sih harga sesuai,Positif
96,Gerry Rachmad,APLIKASI PENIPUAN !!! PENGEMBALIAN DANA SENGAJA DIPERSULIT SUPAYA HANYA KEMBALI 30%. JANGAN SAMPAI MENGGUNAKAN APLIKASI INI,Negatif
97,Agus Putra,Jadwal di aplikasi tidak sesuai jadwal po agen bus mengecewakan murigikan. Di cancel lewat aplikasi tidak bisa admin lelet,Negatif
98,Yuda Pratama,Sangat bagus pelayanan nya cukup baik Dan harga tiket terjangkau,Positif
99,Raditya Mahardhika,Pengen cobain sih pesan tiket online,Positif
100,Satria Satu,"Kecewa berat sama redbus,hari ini saya beli tiket di redbus standar doubel Dekker dengan bus PO Harapan Jaya,malah di agen saya di ganti VIP dan tanpa makan itu pun harga dikembalikan 15 rb Parah lagi AC bus bocor Tolong siapa yang bertanggungjawab",Negatif
101,Tria Octavianto,Aplikasi nya banyak diskon,Positif
102,Lusia Della,"aplikasinya tidak akurat , tidak jelas",Negatif
103,Izal Zali 113,Baru di aplikasi ini saya beli tiket online saya lupa pilih no kursi & saya berusaha menghubungi call center Redbus operator juga ga tau no kursi saya...di email tiket sayapun ga ada no kursi...aplikasi sangat tidak membantu..,Negatif
104,Endo Jr,Jadwal sering tiba2 hilang.,Negatif
105,Ragil Setiawan,Pelayanan dari redbus sudah cukup bagus. Tinggal lebih di tingkatkan saja.,Positif
106,Yobel Fernando,"fasilitasnya the best, semoga terus dijaga & ditingkatkan",Positif
107,tujuh enam,Tolong dong ngasih jam nya yang lebih pas. Jadwal redbus jm 15:38 kok sekarang jam 18:45 belum datang bis nya,Negatif
108,Manusia Biasa,"Tempatnya mantap, crew redBus loungenya super ramah dan tempatnya anak muda banget dan bersih yang terutama",Positif
109,Arif Scada,SANGAT MENGECEWAKAN!!!! Pembohongan terhadap publik.... Waktu brkt dan kedatangan sangat2 tidak sesuai dengan kenyataan. !!! Kita jadi banyak rugi akibat ktidaksamaan waktu yg di iklan kan..... Benar2 PAYa H.....!!!!!!!!,Negatif
110,arief skate,Mana otp nya gak masuk,Negatif
111,Patricia Irdy,"Staff nya ramah, tempatnya adem, ada mushola, ada loker buat charge handphone",Positif
112,Meildha Tarigan,"Tempat cozy bgt buat nunggu bus dingin, wc bersih, ada mushola, tanya2 selalu dibantu sama petugasnya. Top banget!",Positif
113,Barkun Suko,Setelah diupdate aplikasinya malah tidak bisa dibuka,Negatif
114,Iwan Purwanto,"Mantap pakai aplikasi ini buat mencari Bus Online perjalanan pulang kampung lebih praktis, Tks_Ajkk :)",Positif
115,Muhammad Radja,"Ini aplikasi keren, saya sangat puas banget…mudah... pertahankan ya dan tingkatkan ",Positif
116,guruh romantiko,"Pertama kali mau menggunakan aplikasi redbus sempat ragu, tetapi ternyata sangat membantu sekali untuk pemesanan tiket. Fiture² nya gampang dipahami dan mudah banget untuk digunakan. Tingkat keamanan sudah terakomodir banget. Pokoknya rekomendasi banget deh yang mau mudik atau traveling. Mantulll ....",Positif
117,A7 Sht,Trimakasihh Perjalanan PAsti),Positif
118,Akbar Alfandi Saputra,Banyak Error. Punya Sistem di Benerin Dulu. Contoh tuh kubu BIRU sebelah. Ga Banyak Error kek disini.,Negatif
119,Sultan Mubin Pro,Udah kapok pesan di online duit gk balik klo ketinggalan bus nya otomatis unistall,Negatif
120,Muhammad Aldy Nurdin,Saya sudah bayar tapi tiket belum dikirim juga tolong kembalikan uang saya,Negatif
121,Erline Saputra,"Ngabisin 2 jam terakhir buat booking single trip tp gagal krn macam2 alasan (abis input nama ga msk ke hal payment, payment ga msk ke hal visa, dll) ujung2nya gagal total",Negatif
122,Achmad Maulana Yusuf,Pengalaman pertama bagus,Positif
123,Dino Nindya,"Gimana red bus, giliran mau bayar erooorrr muluuu aduhhh kacau, coba dong diperbaiki,pesan tiket berkali kali giliran tinggal bayar ga bisa",Negatif
124,kulo inyong,"Lebih dipermudah lagi dalam pemesanan online melalui Redbuss app, lebih simple. Banyak bonus potongan tiket melalui redbuss app.... Sukses selalu.",Positif
125,soekarno m nur,Pelayanan ok. Cuman untuk di makassar dan sekitarnya mau di tambah armada atau PO biar makin gampang pemesanan tiketnya.,Positif
126,Undhan Putri,Mudah mencari bus antar kota antar provinsi ,Positif
127,D2T 1106,"Saya kecewa dengan aplikasi Redbus karena titik penjemputan berbeda dengan dilapangan, jadi bikin susah aja",Negatif
128,Yohanes Christiawan Hari Mukti,"Sampai sejauh ini, redbus adalah aplikasi paling bobrok dari semua aplikasi yg pernah saya pakai,, Saya kecewa dengan pelayanan yg setengah hati, bis saya dicancel 1 jam sebelum berangkat, uang saya sampai sekarang tidak dikembalikan, memang cuma 200rban, tapi sama sekali gg tanggung jawab, udah disuruh nunggu suruh kirim mutasi rekening, eh ujung2 suruh konfirmasi sendiri ke bank, lawak banget pelayanannya,, Saya sarankan mending pakai jalur agen bis, kasih rejeki ke agen2 bis daripada nih apli",Negatif
129,Maulidin Nur,Mantap. Rekomendasi banget ini,Positif
130,yoga rahmindra,mantap nih aplikasi,Positif
131,tazam mul (GESGE),"Susah pesen tiket disini, nyari bus dari bandung tujuan wonosobo aja gk ada",Negatif
132,Khori Effendi,Lebih murah di agen belinya hmm Tapi rekomendasi buat yang super sibuk kerja sama jauh agen,Positif
133,Ardani Thetrav,Terbaik lah pokok nya,Positif
134,Debby Wahyu,"Hati2 tiket disini ga online. Ud pesen bus dan pesawat. Last minute ga ada kabar. Sampe terminal baru tau bus penuh. Tanggung jawab cuma refund 1-7 hari pula. Reschedule buat besoknya, kata bus penuh. Tp red bus tersedia. Ngerii Good bye Red bus. Cukup kali ini aja. Kapok!",Negatif
135,soeryo soembogo,"appl gx berguna, mau cari bis akap aja gak bisa.. masak bus traayek pekanbaru ke jawa sampai gak muncul diappl nya...",Negatif
136,Angga Prasetyo,Jadwal bus sering tidak update. Di aplikasi tersedia tapi tidak bisa di pesan. Ternyata pas di crosscek di agent sudah penuh.,Negatif
137,Roro Jongrang,Mahal tiketnya!,Negatif
138,Daniel Santoso,"Pemesanan Bus jadi mudah, cepat dan ada diskon juga",Positif
139,Kevin Onesiforus,"Woy apk gajelas , gw udah bayar via indomaret ini tp kenapa ga bisa di konfirmasi sampai batas waktu kadaluarsa sehingga gagal? Duit saya kemana ini anjinggg !!",Negatif
140,Andika guritno,"Gampang bgt penggunaannya, banyak diskon juga sukses, add kode refferal saya ya : redzolbq terima kasih",Positif
141,Suprapto Suprapto,"App Redbus tolong di perbaiki lagi koordinasi lah dengan agen po bus nya,,,, tentang jadwal jam keberangkatan tolong di sesuaikan lagi di online nya. Jangan membuat pengguna kecewa,,,,salam hormat ",Negatif
142,Aryo Pagak,"Maaf tak kurangin bintangnya karena sekarang susah banget untuk pesan tiket lagi sih... Kalo sudah pilih pembayaran selalu balik ke halaman awal terus.... Tolong di perbaiki,padahal saya sudah lama pake aplikasi ini tapi sekarang eror terus...",Negatif
143,VL Irwan Maspul,Sangat membantu perjalanan saya,Positif
144,dwiky febrianto10,"booking tiket bus udah di bayar tapi tidak dapat tiket, dan kata aplikasi belum ada pembayaran, padahal sudah di transfer",Negatif
145,Fadillah Faharuddin,Memberi kemudahan untuk membeli tiket Bus tanpa harus ke terminal atau agen tiket,Positif
146,anjar setiyo budi,"Waktu yg di berikan dari red bus sangat menyimpang dengan waktu keberangkatan bis, jadi penumpang nunggu bis datang sampai berjam jam (lamaa sekali)",Negatif
147,Abdul Azis W,"Bis Nggak Nyaman karena Petugas bis membolehkan merokok di dalam bis dan Bahkan Petugasnya lalu Bis tidak sesuai Tepat waktu, alamat pemberhentian yang diberikan tidak sesuai.",Negatif
148,Bang Yulian,UI nya jelek,Negatif
149,aisyah official,Sangat membantu mengetahui kesediaan bangku atau armada yang tersedia,Positif
150,Husein Alhamid,Kerenn... Sangat membantu perjalanan saya!,Positif
151,eka dona purnomo,"Tiket lebih murah, dan bisa dipesen dimana saja dan kapan saja",Positif
152,F3 / 27 / SYAHRI ZULKIFLI,Keren app nya,Positif
153,wirdan sahrul afif,Gak lengkap bis nya buat jalur selatan jalur pantura malah banyak pilihan,Negatif
154,Zafran Kurniawan,Luamayan membantu...klo bisa adain sampe lebak bulus atau pondok pinang dong ..atau BSD...,Positif
155,Taslim Ajja,Sangat membantu sekali,Positif
156,Ilham Prayoga,Parah eror nya di apk masih ada bus eh sehabis tf kok siangnya dikabarin ga ada tiket kosong ...katanya dicancel dikirim link secepatnya ini hampir sehari kgag dikirim,Negatif
157,Wahyu Adinugroho,Semoga makin lancar dan perbaiki kekurangannya,Positif
158,Ilham Saputra18,"Bis telat sampai 3jam,tapi tidak ada pemberitahuan dari pihak agen,dengan alasan tidak bisa menghubungi nomor saya,padahal Nomor saya selalu aktif dan nomor agen tidak ada di aplikasi.sungguh kecewa",Negatif
159,Setiawan Addison,Sinar jaya blacklist aja taekkk lama banget nunggunya,Negatif
160,Riant Nia,"Niat gak si bikin aplikasi, kode OTP gak dikirim² gak ada sms masuk",Negatif
161,Kurnia Kurnia,"Kita dikasih dompet tapi tetap aja maksimal digunakan 5%. Hampir gak pernah diskon, jadinya jatuhnya lebih mahal daripada beli langsung di agen.. Tinggal nunggu end nya nih aplikasi..",Negatif
162,Ali Akbar 8,Pihak redbus lamban dan tidak bertanggung jawab atas komplen pengguna yg kursi bus di ganti sepihak oleh agen bus,Negatif
163,Priyo Adi,Rute yg saya cari ngga tersedia Padahal di aplikasi lain tersedia!! Payah....,Negatif
164,Kurni Yati,Aplikasi nya bagus kk soal nya bisa cari tiket bus dengan mudah dan praktis,Positif
165,Alamsyah,Pemesanan ticket cukup mudah,Positif
166,ahima septia,Salah klik jam berangkat malah ditinggal busnya ga bisa di ubah,Negatif
167,yogi al ardi,Jangan deh pake apps ini udah mahal kebagian mobil gk jelas estimasi gk tepat waktu menu saran dan komplain gak ada gimna mau maju,Negatif
168,Nanda Arya Putra,Pembayaran Tiket Diterima Namun TIDAK MENDAPATKAN KURSI DAN BILANG MAU DIKEMBALIKAN DALAM 5-7 HARI NYATANYA UUANG SAYA BELUM KEMBALI SEMUANYA...GIMANA INI!!!,Negatif
169,Zahra Undzira,"Klo bisa ga ngasih bintang, udah ga tak kasih bintang 1pun. Pelayanannya sangat sangat buruk, pesen bus damri melalui aplikasi ini malah ternyata aplikasi bodong, redbus ga tau dimana titik naik bus. Di hubungi hanya akan konfirm setiap 2 jam tapi di tunggu sampai 8 jam ga ada kejelasan, sekalinya ada malah di tipu  disuruh nunggu di terminal malah gg ada busnya dateng. Dasar kurang ajar banged ini aplikasi. Uang tidak bisa di refund pula. Kurang jahat gimana ni aplikasi... Highly unrecommend.",Negatif
170,Berani Bertindak,"Muahalllll, enak langsung nyari di loket",Negatif
171,Miftah Farid ma'ahid,Bagus. Cepat prosesnya,Positif
172,Qindy Havest,"Eror mulu ni aplikasi mau pake voucher udh mau di transfer, ehh voucher eror/kadaluarsa, kalo udh ga berlaku hapus lah promo nya!!, udh gitu delay mulu kursi yg kosong, padahal gagal transaksi.. B2 dulu lah, kalo udh nyaman, cepat, dan tepat baru B5",Negatif
173,Egga Kecil,Udah pindah2 lokasi tempat asal dan tujuan ttep aja gada mobil tersedia PAYAH,Negatif
174,Sopian alwi,App gak guna call center gak bisa di pakai,Negatif
175,Studio Ruang Hati Interior Design,"Aplikasi gak jelas, verifikasi nomor aja setengah mati, pakai kode juga sulit. Maunya apa sih? Kalah sama traveloka, dll",Negatif
176,23 Rafael Radit,"Sangat memuaskan,tapi next time tambah in PO busnya lagi biar banyak pilihan",Positif
177,Muh. Fiqri Abdi Rabbi,"Sangat buruk, lokasi titik keberangkatan Jakarta diset diaplikasi nya diarahkan ke Karawang mohon dituliskan lengkap lokasi titik keberangkatan di Aplikasi karena tidak semua nya mengetahui lokasi yang dimaksud lengkapnya ada di daerah mana",Negatif
178,i Kocheng,slow respon dan mesan tiket udah di bayar malah di diemin ampe pembayaran batal automatis. Cs nya gk jelas no hp gk bisa di hubungi fix,Negatif
179,fadhli adi,"Aplikasi online yang sangat baik, rekomendasi utk beli di sini. Untuk komplain di feedback dengan baik,tolong di evaluasi komplain KK ipar saya yg mesen bus tanggal 25 Juni 2022 perjalanan dari terminal Bekasi ke padang.",Positif
180,puji laksano,"Harga tiketnya mahalnya kelewat, nyari untungnya kelewatan bngt kmrin saya beli tiket harapan jaya Executiv jurusan tulungagung - kalideres 387 ribu padahal klu beli di kantor harapan jaya langsung cuma 345 ribu. Sangat mengecewakan bngt",Negatif
181,Agung Setyatama,"Kenapa saya mau daftar, selalu gagal mendapatkan kode otp?",Negatif
182,Maulana Pratama,Maaf saya cuma kasih 1 bintang saya liat dari komentarnya yang terbaru . Jadi ragu dan maaf saya uninstal ,Negatif
183,Gunawan Indra Jaya,"Aplikasi sampah, server ga diurus apa gimana? Mau book tiket bus malah error terus gilak niat ga sih bikin aplikasi",Negatif
184,Yt Kudashi,"Jangan pesan tiket disini, admin tidak ramah. Dan tidak membantu sama sekali.",Negatif
185,Yosy Yulistyobudi,"Pemesanan pertama bagus, mudah dan cepat, kenapa pemesanan kedua erorr melulu saat mau melakukan pembayaran, jadi agak Ndak nyaman saya mau lanjut menggunakan app ini",Negatif
186,tanto trans,Aplikasi ngebug terus,Negatif
187,dicky Ramdan,"Sangat kecewa, di aplikasi redBus katanya bisnis, tetapi yang saya dapatkan adalah kelas bisnis ekonomi, si bis nya keluar masuk ke tiap terminal di jakarta dan membuat waktu perjalanan saya dari bandung ke sumatra Selatan semakin lama, dan yang lebih parah nya, harga nya jauh dengan kalau kita ke pool bis nya bisa 30% perbedaan nya, ga usah download aplikasi ini..",Negatif
188,Fattar Ibrahim,"Tiket gagal booking udah transfer refund ga balik balik sampe skrg alesannya ga jelas,,, parah",Negatif
189,Dhanie Dewangga Taef,"Informasi kurang jelas, no telfon tidak sesuai, agen tidak ramah dan tidak informatif, selabihnya kru bus bagus",Negatif
190,cv alfarezi,"Terbantu sekali,dgan aplikasi ini.",Positif
191,Umay Umay,"Sampah, udah pesen, bayar saldo sudah kepotong, tapi status belum bayar, mau complain ga ada cs nya hanya ngobroo dengan robot",Negatif
